ID;Nome;Descrição;Preço Unitário;Quantidade;Caminho da Imagem
58; CATRACA NEXT COM LEITOR BIOMETRICO E PROXIMIDADE ASK ;iDBlock Next Preta da marca Control iD, configurada com leitor biométrico, proximidade de 125 kHz e sem a urna coletora de braços. É um modelo de alta tecnologia para ambientes internos como academias e empresas, destacando-se pelo mecanismo ultra silencioso e design moderno;6470,00;0;eq58_8584fe813adf4d4784e2e401e84756f8.png
56;: Coletora de Comandas 9X7 | EVO ;Catraca coletora de comandas 9x7cm para controle de acesso e consumo. Ideal para padarias, restaurantes e lojas de conveniência.;7999,00;0;eq56_5ee5c9c70ff74eb68c2ad7f45850c92a.png
45;•	Controle Sem Fio Xar 4000 Intelbras ;Módulo utilizado para ampliar o alcance e a capacidade de dispositivos sem fio em sistemas de alarme. ;70,00;0;eq45_2caa843bc50241e28cc4daafe2a10b34.png
77;ALINHADOR;;36,00;;
20;BATERIA IDCLASS;Bateria do relógio IdClass, que mantém o equipamento Control iD funcionando durante quedas de energia, garantindo o registro de ponto sem interrupções.;340,00;1;transferir_2.png
8;BOBINAS PAPEL TÉRMICO COM 57MM X 300M;Bobinas Papel Térmico Com 57mm X 300m;45,00;1;Bobina_termica_57mm_X_300m.webp
19;BOTOEIRA DE APROXIMAÇÃO;Botoeira de Aproximação, dispositivo “no touch” que permite liberar uma porta apenas com a aproximação da mão, tornando a saída de ambientes mais prática, rápida e higiênica.;165,00;1;transferir_1.png
17;BOTOEIRA DE EMERGÊNCIA;Botoeira de emergência, dispositivo ideal para situações de emergência, como evacuações ou abertura rápida de saídas de emergência.;215,00;1;botoeira_de_emergencia.jpg
18;BOTOEIRA DE SOBREPOR;Botoeira de Sobrepor, dispositivo elétrico de saída controlada, projetado para liberar a travadura de uma porta com pressão de botão, permitindo que ambientes sejam abertos com segurança e rapidez.;165,00;1;transferir.png
76;CARRO DE TRANSPORTE;;65,00;;
43;Catraca Assa Abloy PNE Swing Gate INOX;"- Catraca Assa Abloy PNE Swing Gate INOX com motor para abertura da porta TBO inox automático, sensor
antiesmagamento, 2 Faciais MAX (10 mil faces) + Prox. 13,56 MHz (Mifare)";19250,00;1;eq43_64bac24a136c49e6a26c3e1f542a94c6.png
49;CATRACA com COFRE COLETOR INTELIGENTE – EVO  ;Catraca coletora de comandas para controle de acesso e consumo. Ideal para padarias, restaurantes e lojas de conveniência;7990,00;0;eq49_075b9ac6f85846a7bd57239f0334468f.png
46;CATRACA EXPEDIDORA TECNIBRA C250  ;Equipamento entrada. A Dispensadora de Comandas 250 Tecnibra é um equipamento utilizado com objetivo de controlar  acesso de pessoas em estabelecimentos comerciais que utilizam comandas;16900,00;0;eq46_b088eb2d5b4042e1aa02e3a9a93cdfb2.png
36;CATRACA FLAP BARREIRA + BRAÇO PNE;Catraca Flap barreira + Braço PNE ;29725,00;1;eq_e88d4db76cca463da1bc55040cfc0ee5.png
34;CATRACA FLAP BARREIRA CENTRAL EVO;Catraca Flap barreira central Evo ;34181,00;1;eq_04187b98bc8d494ca8d39f74cbc94696.png
35;CATRACA FLAP BARREIRA LATERAL EVO;Catraca Flap barreira lateral Evo ;28520,00;1;eq_305d5921858242bb881d8773bd9aabbb.png
63;CATRACA IDBLOCK PNE INOX FACIAL C/ 02 LEITORES MAX DE 10K FACES CADA (NÃO VENDE SOMENTE COM 01 LEITOR);Control iD é uma solução de alta tecnologia projetada especificamente para garantir acessibilidade (PNE) em ambientes corporativos e comerciais. O modelo mencionado já vem equipado com 02 leitores faciais iDFace Max, permitindo o controle biométrico bidirecional (entrada e saída) com capacidade de até 10.000 faces cada;16890,00;0;eq63_2117d6b3da384bf0926337c4ff0a0420.png
59;CATRACA NEXT INOX 01 IDFACE MAX 10.000 FACES;é uma solução de controle de acesso de alta performance que combina design moderno e segurança biométrica avançada;8390,00;0;eq59_09e19098b636430d9acbb6a25321cbbf.png
47;Catraca PEDESTAL FACIL MECANICA + CONTADOR ;Quando equipada com contador mecânico, ela permite o registro preciso da quantidade de passagens sem a necessidade de softwares complexos de gestão. ;3527,00;0;eq_9ffda11abd084f8cbecdc9d9d2d43a2d.png
48;Catraca PEDESTAL FACIL SEMI-ELETRONICA. ;é uma solução de controle de acesso que combina robustez mecânica com recursos eletrônicos simplificados, como contadores de giro e liberação por botoeira. ;3850,00;0;eq_96e5cea6a58d408b9da62a9255dfa614.png
51;CATRACA RECEPTORA DE COMANDAS R120 - TECNIBRA;Equipamento saída. Capacidade de armazenamento para até 400 comandas, comunicação TCP-IP;14900,00;0;eq_517fe764c71b4e7d924c4f7df55e3444.png
31;CATRACA SWING GATE BARREIRA CENTRAL EVO 2608F;Catraca swing gate barreira central Evo 2608F ;32363,00;1;eq_27ef1dbe596548f2ad7438a07a2b97f1.png
32;CATRACA SWING GATE BARREIRA LATERAL EVO 2608F ;Catraca swing gate barreira lateral Evo 2608F ;25540,00;1;eq_57c65d9237114d92b2b7cf4db8175dec.png
33;CATRACA SWING GATE BARREIRA LATERAL EVO 2608F BRAÇO PNE;Catraca swing gate barreira lateral Evo 2608F Braço PNE;26990,00;1;eq_61af64bd252e49778de2f9e062d3eb53.png
38;CHAVE PACRI ;CHAVE PACRI;190,00;1;eq38_b451b593a5014d30adc99a23edd91230.png
52;COMANDA PERSONALIZADA 10X15;Próx 125 KHZ;19,00;0;eq_32f0fc02ad9b4fcd9644f9e456ab14a2.png
74;CONJUNTO DE MOTORES;;78,00;;
